id,Gob,Dpa,Rpa,Total,Dpp_allocation,Financial_year
,30000,0,0,30000,68,1
,0,0,0,0,69,1
,1400000,0,0,1400000,95,1
,1800000,0,0,1800000,94,1
,3425000,0,0,3425000,93,1
,25244000,0,0,25244000,70,1
,22000,0,0,22000,90,1
,15000,0,0,15000,79,1
,5000,0,0,5000,78,1
,545000,0,0,545000,76,1
,40000,0,0,40000,74,1
,250000,0,0,250000,75,1
,400000,0,0,400000,85,1
,1800000,0,0,1800000,72,1
,25000,0,0,25000,77,1
,400000,0,0,400000,82,1
,1500000,0,0,1500000,89,1
,5000,0,0,5000,88,1
,0,0,0,0,87,1
,1041000,0,9368000,10409000,86,1
,5938000,0,53447000,59385000,71,1
,2354000,0,21185000,23539000,81,1
,400000,0,0,400000,80,1
,100000,0,0,100000,97,1
,0,50000000,0,50000000,83,1
,500000,0,0,500000,84,1
,100000,0,0,100000,98,1
,100000,0,0,100000,91,1
,3000000,0,0,3000000,92,1
,650000,0,0,650000,96,1
,30000000,0,0,30000000,99,1
,2000000,0,0,2000000,100,1
,100000,0,0,100000,101,1
,200000,0,0,200000,105,1
,50000,0,0,50000,102,1
,500000,0,0,500000,104,1
,500000,0,0,500000,108,1
,50000,0,0,50000,103,1
,136000,0,1000000,1136000,106,1
,75000,0,0,75000,107,1
,300000,0,0,300000,73,1
,9560000,0,0,9560000,134,1
,0,0,0,0,133,1
,0,0,0,0,132,1
,0,0,0,0,131,1
,0,0,0,0,130,1
,0,0,0,0,129,1
,0,0,0,0,128,1
,200000,0,0,200000,124,1
,0,0,0,0,127,1
,0,0,0,0,126,1
,0,0,0,0,125,1
,0,0,0,0,110,1
,1000000,0,0,1000000,109,1
,400000,0,0,400000,111,1
,785240000,0,0,785240000,120,1
,9000000,0,61000000,70000000,119,1
,9000000,0,61000000,70000000,118,1
,60000000,0,400000000,460000000,117,1
,75000000,0,500000000,575000000,122,1
,10000000,0,70000000,80000000,116,1
,9000000,0,61000000,70000000,115,1
,7500000,0,52500000,60000000,114,1
,37000000,0,245500000,282500000,121,1
,1000000,0,6500000,7500000,113,1
,1100000,0,7500000,8600000,112,1
,0,0,0,0,123,1
