id,package_short_name,package_detail_name,contractor_short_name,division_id,contractor_id,partner_contractor1_id,partner_contractor2_id,start_date,finish_date,extended_date,contract_amount,billed_amount,estimated_amount,physical_progress,financial_progress,xen_id,sde_id,so_id,fse_id,cse_id
67,BWDB/ Kish/HFMLIP/PW-12 Noapara Haor,BWDB/ Kish/HFMLIP/PW-12Noapara Haor,PMPL-LA-TTSL (JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,,6
65,BWDB/ Kish/HFMLIP/PW-19 Naogaon Haor (Part A),BWDB/ Kish/HFMLIP/PW-19 Naogaon Haor (Part A),LT-MC (JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,,6
66,BWDB/Kish/HFMLIP/ PW-18 NaogaonHaor (Part A & B),BWDB/Kish/HFMLIP/ PW-18 NaogaonHaor (Part A & B),FC-MS (JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,,6
64,"BWDB/Kish/HFMLIP/ PW-20 Nunnir, Boro & Noapara Haor","BWDB/Kish/HFMLIP/ PW-20 Nunnir, Boro & Noapara Haor",AS-MSS-MPE (JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,11,6
53,BWDB/Kish/HFMLIP/ PW-22 Badla Haor ,BWDB/Kish/HFMLIP/ PW-22 Badla Haor ,FC-A & Co. (JV),1,,,,3/21/2019,3/21/2019,,,,,,,16,,,,6
52,BWDB/Kish/HFMLIP/ PW-23 Chatal Haor ,BWDB/Kish/HFMLIP/ PW-23 Chatal Haor ,AKA-UCL(JV),1,,,,3/21/2019,3/21/2019,,,,,,,16,,,,6
54,BWDB/Kish/HFMLIP/ PW-25 Dakshiner Haor ,BWDB/Kish/HFMLIP/ PW-25 Dakshiner Haor ,MS-RE (JV),1,,,,3/21/2019,3/21/2019,,,,,,,16,,,8,6
63,BWDB/Kish/HFMLIP/ PW-26 Sonai Haor ,BWDB/Kish/HFMLIP/ PW-26 Sonai Haor ,MRC-GF (JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,9,6
82,Package No W-02/Chandpur Haor,Package No W-02/Chandpur Haor,FC-MGS-JV,1,1,,,3/21/2019,3/21/2019,,,,,,,16,,,9,6
81,Package No W-03/Nunnir Haor,Package No W-03/Nunnir Haor,ARC-LT(JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,10,6
73,Package No.: PW-09/Boro Haor,Package No.: PW-09/Boro Haor,ARC-GE(JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,8,6
72,Package No.: PW-10/Noapara Haor,Package No.: PW-10/Noapara Haor,MARCO-MONIR(JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,9,6
80,Package No.-04/Nunnir Haor(Part B+C),Package No.-04/Nunnir Haor(Part B+C),M/S. Amin &Co,1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,9,6
79,Package No.-05/NunnirHaor(Part-A& C),Package No.-05/NunnirHaor(Part-A& C),SA-SI &Israt Enterprise JV,1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,10,6
78,Package No.-06/NunnirHaor(Part-A),Package No.-06/NunnirHaor(Part-A),Binimoy Construction Company (JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,10,6
77,Package No.-07/Boro Haor,Package No.-07/Boro Haor,M/S Liton Traders,1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,9,6
71,Package No.-11/Noapara Haor,Package No.-11/Noapara Haor,MARCO-MONIR(JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,10,6
76,Package No.-13/NaogaonHaor(Part-A),Package No.-13/NaogaonHaor(Part-A),M/S. Amin & Co,1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,8,6
75,Package No.-14/NaogaonHaor(Part-A),Package No.-14/NaogaonHaor(Part-A),PMPL-TTSL (JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,8,6
74,Package No.-15/Naogaon Haor-Part-B,Package No.-15/Naogaon Haor-Part-B,M/S Kamal Enterprise,1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,12,6
70,Package No.-16/ NaogaonHaor-Part-B,Package No.-16/ NaogaonHaor-Part-B,ARC-LT (JV),1,2,,,3/21/2019,3/21/2019,,,,,,,16,,,12,6
