id,haor_id,name,start_chainage,finish_chainage,length,volume,vent_no,dpp_cost,worktype_id
2,1,Submersible Embankment from 0.000 to 38.130,0,38.13,3.879,,,,2
27,1,1-Vent Regulator at Km17.1 in Boro Haor Project,14.1,14.1,0,0,1,0,5
28,1,1-Vent Regulator at Km19.9 in Boro Haor Project,17.1,17.1,0,0,1,0,5
29,1,2-Vent Regulator at Km23.4 in Boro Haor Project,19.9,19.9,0,0,2,0,5
30,1,2-Vent Regulator at Km35.2 in Boro Haor Project,23.4,23.4,0,0,2,0,5
31,1,14-Vent Regulator at Km1.64 in Boro Haor Project,35.2,35.2,0,0,14,0,5
78,1,4m causeway at km 14.05 in Boro Haor Project,14.05,14.05,0,0,4,0,6
79,1,4m causeway at km 27 in Boro Haor Project,27,27,0,0,4,0,6
80,1,6m causeway at km 33.3 in Boro Haor Project,33.3,33.3,0,0,6,0,6
113,1,Box Sluice at Km14 in Boro Haor Project,14,14,0,0,0,0,9
171,1,Irrigation Inlet No-16 in  Boro Haor Project,0,0,0,0,0,0,7
172,1,Irrigation Inlet No-17 in  Boro Haor Project,0,0,0,0,0,0,7
173,1,Irrigation Inlet No-18 in  Boro Haor Project,0,0,0,0,0,0,7
174,1,Irrigation Inlet No-19 in  Boro Haor Project,0,0,0,0,0,0,7
175,1,Irrigation Inlet No-20 in  Boro Haor Project,0,0,0,0,0,0,7
176,1,Irrigation Inlet No-21 in  Boro Haor Project,0,0,0,0,0,0,7
177,1,Irrigation Inlet No-22 in  Boro Haor Project,0,0,0,0,0,0,7
292,1,Hajirkhali Khal,0.175,1.81,1.635,0,0,0,3
293,1,Karpasha Khal,0.1,1.615,1.515,0,0,0,3
294,1,Dampara Khal,0.04,3.6,3.56,0,0,0,3
295,1,Baniajan Khal,0.16,7.06,6.9,0,0,0,3
296,1,Suti Khal,0,6.1,6.1,0,0,0,3
297,1,Diga Nadi,2.5,8.1,5.6,0,0,0,4
298,1,Old Singua River,7.3,14.4,7.1,0,0,0,4
7,2,Submersible Embankment from 0 to 28.900 Part-A,0,28.9,26.942,,,,2
8,2,Submersible Embankment from 0.000 to 44.200 Part-B,0,44.2,36.104,,,,2
37,2,1-Vent Regulator at Km4.07 in Naogaon Haor Project ,2.09,2.09,0,0,1,0,5
38,2,2-Vent Regulator at Km6.04 in Naogaon Haor Project ,4.07,4.07,0,0,2,0,5
39,2,2-Vent Regulator at Km5.56 in Naogaon Haor Project ,6.04,6.04,0,0,2,0,5
40,2,2-Vent Regulator at Km14.52 in Naogaon Haor Project ,5.56,5.56,0,0,2,0,5
41,2,2-Vent Regulator at Km33.8 in Naogaon Haor Project ,14.52,14.52,0,0,2,0,5
42,2,3-Vent Regulator at Km44.15 in Naogaon Haor Project ,33.8,33.8,0,0,3,0,5
43,2,4-Vent Regulator at Km16.1 in Naogaon Haor Project ,44.15,44.15,0,0,4,0,5
82,2,4m causeway at km 12.44 in Naogaon Haor Project ,12.44,12.44,0,0,4,0,6
83,2,4m causeway at km 24.06 in Naogaon Haor Project ,24.06,24.06,0,0,4,0,6
84,2,4m causeway at km 39.07 in Naogaon Haor Project ,39.07,39.07,0,0,4,0,6
85,2,6m causeway at km 44.2 in Naogaon Haor Project ,44.2,44.2,0,0,6,0,6
116,2,Box Sluice at Km6.65 in Naogaon Haor Project ,6.65,6.65,0,0,0,0,9
117,2,Box Sluice at Km9.39 in Naogaon Haor Project ,9.39,9.39,0,0,0,0,9
118,2,Box Sluice at Km11.21 in Naogaon Haor Project ,11.21,11.21,0,0,0,0,9
119,2,Box Sluice at Km13.7 in Naogaon Haor Project ,13.7,13.7,0,0,0,0,9
120,2,Box Sluice at Km18.24 in Naogaon Haor Project ,18.24,18.24,0,0,0,0,9
192,2,Irrigation Inlet No-37 in  Naogaon Haor Project ,0,0,0,0,0,0,7
193,2,Irrigation Inlet No-38 in  Naogaon Haor Project ,0,0,0,0,0,0,7
194,2,Irrigation Inlet No-39 in  Naogaon Haor Project ,0,0,0,0,0,0,7
195,2,Irrigation Inlet No-40 in  Naogaon Haor Project ,0,0,0,0,0,0,7
196,2,Irrigation Inlet No-41 in  Naogaon Haor Project ,0,0,0,0,0,0,7
197,2,Irrigation Inlet No-42 in  Naogaon Haor Project ,0,0,0,0,0,0,7
198,2,Irrigation Inlet No-43 in  Naogaon Haor Project ,0,0,0,0,0,0,7
199,2,Irrigation Inlet No-44 in  Naogaon Haor Project ,0,0,0,0,0,0,7
200,2,Irrigation Inlet No-45 in  Naogaon Haor Project ,0,0,0,0,0,0,7
201,2,Irrigation Inlet No-46 in  Naogaon Haor Project ,0,0,0,0,0,0,7
202,2,Irrigation Inlet No-47 in  Naogaon Haor Project ,0,0,0,0,0,0,7
203,2,Irrigation Inlet No-48 in  Naogaon Haor Project ,0,0,0,0,0,0,7
204,2,Irrigation Inlet No-49 in  Naogaon Haor Project ,0,0,0,0,0,0,7
205,2,Irrigation Inlet No-50 in  Naogaon Haor Project ,0,0,0,0,0,0,7
206,2,Irrigation Inlet No-51 in  Naogaon Haor Project ,0,0,0,0,0,0,7
207,2,Irrigation Inlet No-52 in  Naogaon Haor Project ,0,0,0,0,0,0,7
208,2,Irrigation Inlet No-53 in  Naogaon Haor Project ,0,0,0,0,0,0,7
209,2,Irrigation Inlet No-54 in  Naogaon Haor Project ,0,0,0,0,0,0,7
210,2,Irrigation Inlet No-55 in  Naogaon Haor Project ,0,0,0,0,0,0,7
211,2,Irrigation Inlet No-56 in  Naogaon Haor Project ,0,0,0,0,0,0,7
212,2,Irrigation Inlet No-57 in  Naogaon Haor Project ,0,0,0,0,0,0,7
213,2,Irrigation Inlet No-58 in  Naogaon Haor Project ,0,0,0,0,0,0,7
214,2,Irrigation Inlet No-59 in  Naogaon Haor Project ,0,0,0,0,0,0,7
215,2,Irrigation Inlet No-60 in  Naogaon Haor Project ,0,0,0,0,0,0,7
216,2,Irrigation Inlet No-61 in  Naogaon Haor Project ,0,0,0,0,0,0,7
310,2,Pangair Dair Khal,0.08,4.36,4.28,0,0,0,3
311,2,Bera Khal,0.52,2.03,1.51,0,0,0,3
312,2,Gokhra Khal,0.185,0.91,0.73,0,0,0,3
313,2,Markhali Khal,1.01,4.12,3.11,0,0,0,3
314,2,Nandir Khal,0,5.985,5.99,0,0,0,3
315,2,Khaiyar Khal,0.495,8.405,7.91,0,0,0,3
316,2,Neora Khal,0.12,2.635,2.52,0,0,0,3
317,2,Berachapra River,0,15.82,15.82,0,0,0,4
318,2,Atoplal River,0,7.113,7.11,0,0,0,4
17,3,Submersible Embankment from 4.67 to 30.29,4.67,30.29,0.315,,,,2
68,3,1-Vent Regulator at Km5 in Jaliar Haor Project ,2.07,2.07,0,0,1,0,5
69,3,2-Vent Regulator at Km9.25 in Jaliar Haor Project ,5,5,0,0,2,0,5
70,3,3-Vent Regulator at Km15.64 in Jaliar Haor Project ,9.25,9.25,0,0,3,0,5
102,3,4m causeway at km 0.1 in Jaliar Haor Project ,0.1,0.1,0,0,4,0,6
103,3,4m causeway at km 0.4 in Jaliar Haor Project ,0.4,0.4,0,0,4,0,6
104,3,4m causeway at km 1.54 in Jaliar Haor Project ,1.54,1.54,0,0,4,0,6
105,3,4m causeway at km 3.46 in Jaliar Haor Project ,3.46,3.46,0,0,4,0,6
106,3,4m causeway at km 6.33 in Jaliar Haor Project ,6.33,6.33,0,0,4,0,6
107,3,4m causeway at km 9.24 in Jaliar Haor Project ,9.24,9.24,0,0,4,0,6
108,3,6m causeway at km 12.3 in Jaliar Haor Project ,12.3,12.3,0,0,6,0,6
143,3,Box Sluice at Km3.45 in Jaliar Haor Project ,3.45,3.45,0,0,0,0,9
144,3,Box Sluice at Km3.56 in Jaliar Haor Project ,3.56,3.56,0,0,0,0,9
145,3,Box Sluice at Km4.73 in Jaliar Haor Project ,4.73,4.73,0,0,0,0,9
146,3,Box Sluice at Km6.63 in Jaliar Haor Project ,6.63,6.63,0,0,0,0,9
147,3,Box Sluice at Km24.7 in Jaliar Haor Project ,24.7,24.7,0,0,0,0,9
148,3,Box Sluice at Km1 in Jaliar Haor Project ,1,1,0,0,0,0,9
149,3,Box Sluice at Km12.64 in Jaliar Haor Project ,12.64,12.64,0,0,0,0,9
274,3,Irrigation Inlet No-119 in  Jaliar Haor Project ,0,0,0,0,0,0,7
275,3,Irrigation Inlet No-120 in  Jaliar Haor Project ,0,0,0,0,0,0,7
276,3,Irrigation Inlet No-121 in  Jaliar Haor Project ,0,0,0,0,0,0,7
277,3,Irrigation Inlet No-122 in  Jaliar Haor Project ,0,0,0,0,0,0,7
370,3,Baur Khal,0,0.6,0.6,0,0,0,3
371,3,Dora Nadi,0,3.2,3.2,0,0,0,4
372,3,Rauli Nadi,0,2.3,2.3,0,0,0,4
13,4,Submersible Embankment from 0.000 to 71.710,0,71.71,42.05,,,,2
64,4,2-Vent Regulator at Km34.28 in Dharmapasha Rui Beel Project ,22.27,22.27,0,0,2,0,5
65,4,2-Vent Regulator at Km47.31 in Dharmapasha Rui Beel Project ,34.28,34.28,0,0,2,0,5
66,4,2-Vent Regulator at Km54.42 in Dharmapasha Rui Beel Project ,47.31,47.31,0,0,2,0,5
67,4,4-Vent Regulator at Km2.07 in Dharmapasha Rui Beel Project ,54.42,54.42,0,0,4,0,5
96,4,4m causeway at km 3.1 in Dharmapasha Rui Beel Project ,3.1,3.1,0,0,4,0,6
97,4,4m causeway at km 12.56 in Dharmapasha Rui Beel Project ,12.56,12.56,0,0,4,0,6
98,4,4m causeway at km 22.27 in Dharmapasha Rui Beel Project ,22.27,22.27,0,0,4,0,6
99,4,4m causeway at km 26.98 in Dharmapasha Rui Beel Project ,26.98,26.98,0,0,4,0,6
100,4,4m causeway at km 27.77 in Dharmapasha Rui Beel Project ,27.77,27.77,0,0,4,0,6
101,4,6m causeway at km 38.74 in Dharmapasha Rui Beel Project ,38.74,38.74,0,0,6,0,6
137,4,Box Sluice at Km1.75 in Dharmapasha Rui Beel Project ,1.75,1.75,0,0,0,0,9
138,4,Box Sluice at Km7.8 in Dharmapasha Rui Beel Project ,7.8,7.8,0,0,0,0,9
139,4,Box Sluice at Km33.08 in Dharmapasha Rui Beel Project ,33.08,33.08,0,0,0,0,9
140,4,Box Sluice at Km40.66 in Dharmapasha Rui Beel Project ,40.66,40.66,0,0,0,0,9
141,4,Box Sluice at Km43.13 in Dharmapasha Rui Beel Project ,43.13,43.13,0,0,0,0,9
